sample_id,filename,ground_truth,hierarchical_gt,m1_pred,m1_exact,m1_dist,m1_conf,m2_pred,m2_exact,m2_dist,m2_conf,m3_pred,m3_exact,m3_dist,m3_conf,m4_pred,m4_exact,m4_dist,m4_conf,m5_pred,m5_exact,m5_dist,m5_conf,best_method
85,public/tinea-incognito-51.jpg,"candidiasis, tinea","inflammatory, infectious, fungal, candidiasis, tinea",Tinea cruris,0,-1,0.9,Tinea cruris,0,-1,0.9,no definitive diagnosis,0,-1,0.7,Tinea corporis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,none
86,public/tinea-versicolor-162.jpg,"candidiasis, tinea","inflammatory, infectious, fungal, candidiasis, tinea",Tinea versicolor,0,-1,0.9,Dermatosis papulosa nigra,0,-1,0.9,no definitive diagnosis,0,-1,0.7,"Melasma, Lentigo",0,-1,0.5,no definitive diagnosis,0,-1,0.0,none
87,public/tinea-foot-webs-11.jpg,"candidiasis, tinea","inflammatory, infectious, fungal, candidiasis, tinea",keratolysis exfoliativa of wende,0,-1,0.8,Tinea pedis,0,-1,0.9,interdigital tinea pedis,0,-1,0.9,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,none
88,public/tinea-groin-120.jpg,"candidiasis, tinea","inflammatory, infectious, fungal, candidiasis, tinea",Tinea cruris,0,-1,0.9,Tinea cruris,0,-1,0.9,tinea cruris,0,-1,0.9,Tinea cruris,0,-1,0.5,no definitive diagnosis,0,-1,0.5,none
89,public/tinea-foot-dorsum-4.jpg,"candidiasis, tinea","inflammatory, infectious, fungal, candidiasis, tinea",Atopic dermatitis,0,-1,0.9,Eczema,0,-1,0.85,no definitive diagnosis,0,-1,0.6,Acute vesicular dermatitis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,none
90,youtube/iZrp1daJWk0_frame_15452_0.jpg,tinea,"inflammatory, infectious, fungal, dermatophyte infections, tinea",Tinea capitis,0,2,0.9,Scalp psoriasis,0,6,0.9,no definitive diagnosis,0,-1,0.7,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,m1
91,edu/Illustrated-Manual-of-Pediatric-Dermatology-Diagno...-批量 OCR_00166_10141.png,tinea,"inflammatory, infectious, fungal, tinea",Folliculitis,0,4,0.9,Acne keloidalis nuchae,0,5,0.9,no definitive diagnosis,0,-1,0.6,Tinea capitis,0,2,0.5,no definitive diagnosis,0,-1,0.0,m4
92,youtube/1rQ9PmDOrSs_frame_11842_2.jpg,tinea,"inflammatory, infectious, fungal, dermatophyte infections, tinea",Tinea corporis,0,2,0.9,Erythema migrans,0,5,0.9,no definitive diagnosis,0,-1,0.6,Tinea corporis,0,2,0.5,no definitive diagnosis,0,-1,0.5,m1/m4
93,youtube/609D9bQFAtc_frame_56165_0.jpg,tinea,"inflammatory, infectious, fungal, dermatophyte infections, tinea",Chilblain,0,7,0.9,Chilblain,0,7,0.8,no definitive diagnosis,0,-1,0.6,"Lichen simplex chronicus, ",0,6,0.5,no definitive diagnosis,0,-1,0.5,m4
94,public/-5081790413284637815.png,tinea,"inflammatory, infectious, fungal, tinea",Tinea corporis,0,2,0.8,Tinea corporis,0,2,0.8,no definitive diagnosis,0,-1,0.6,Acute vesicular dermatitis,0,5,0.5,no definitive diagnosis,0,-1,0.5,m1/m2
95,youtube/zzxJOYcnQ6g_frame_1727_0.jpg,scabies,"inflammatory, infectious, parasitic, scabies",Lichen planus,0,5,0.8,Lichen planus,0,5,0.8,no definitive diagnosis,0,-1,0.6,Acute vesicular dermatitis,0,5,0.5,no definitive diagnosis,0,-1,0.5,m1/m2/m4
96,youtube/EU7EEKXaFcg_frame_42145_0.jpg,scabies,"inflammatory, infectious, parasitic, scabies",Eczema,0,5,0.9,Infantile atopic dermatitis,0,6,0.9,no definitive diagnosis,0,-1,0.7,Acute vesicular dermatitis,0,5,0.5,no definitive diagnosis,0,-1,0.5,m1/m4
97,youtube/zHIWVerNenY_frame_735_0_0.jpg,scabies,"inflammatory, infectious, parasitic, scabies",Erythroderma,0,-1,0.9,Erythroderma,0,-1,0.9,generalized exfoliative dermatitis,0,-1,0.9,Psoriasis,0,5,0.5,no definitive diagnosis,0,-1,0.5,m4
98,youtube/QjNDAQVm9Ys_frame_9240_0_0.jpg,scabies,"inflammatory, infectious, parasitic, scabies",Infantile atopic dermatitis,0,6,0.9,Hand foot and mouth disease,0,4,0.9,no definitive diagnosis,0,-1,0.8,Acute vesicular dermatitis,0,5,0.5,no definitive diagnosis,0,-1,0.5,m2
99,IIYI/10883_2.png,scabies,"inflammatory, infectious, parasitic, scabies",no definitive diagnosis,0,-1,0.2,no definitive diagnosis,0,-1,0.4,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,none
